MPAArating,distributor,domestic,genre,name,production_budget,release_year,series,worldwide
PG-13,Fox,208545589,Sci-Fi Action,Dawn of the Planet of the Apes,$170 million,2014,Series: Planet of the Apes,710644566
PG,Buena Vista,222527828,Animation,Big Hero 6,$165 million,2014,No,657818612
PG-13,Fox,233921534,Action / Adventure,X-Men: Days of Future Past,$200 million,2014,Series: X-Men,747862775
PG,Buena Vista,241410378,Fantasy,Maleficent,$180 million,2014,Series: Disney Live Action Reimaginings,758539785
PG-13,Paramount,245439076,Sci-Fi Action,Transformers: Age of Extinction,$210 million,2014,Series: Transformers,1104054072
PG-13,Warner Bros. (New Line),255119788,Fantasy,The Hobbit: The Battle of the Five Armies,N/A,2014,Series: Middle Earth,956019788
PG,Warner Bros.,257760692,Animation,The LEGO Movie,$60 million,2014,Series: LEGO,469160692
PG-13,Buena Vista,259766572,Action / Adventure,Captain America: The Winter Soldier,$170 million,2014,Series: Captain America,714264267
PG-13,Buena Vista,333176600,Action / Adventure,Guardians of the Galaxy,$170 million,2014,Series: Guardians of the Galaxy,773328629
PG-13,Lionsgate,337135885,Action / Adventure,The Hunger Games: Mockingjay - Part 1,$125 million,2014,Series: The Hunger Games,755356711
R,Warner Bros.,350126372,Drama,American Sniper,$58.8 million,2014,No,547426372
R,Relativity,25682380,Comedy,21 and Over,$13 million,2013,No,48065672
R,Focus Features,26004851,Comedy,The World's End,$20 million,2013,Series: Three Flavours Cornetto,46089287
PG-13,Open Road Films,26627201,Sci-Fi Thriller,The Host (2013),$40 million,2013,No,63327201
R,Universal,26947624,Action Drama,Rush (2013),$38 million,2013,No,90247624
R,Focus Features,27298285,Drama,Dallas Buyers Club,$5 million,2013,No,55198285
R,Universal,28795985,Action Comedy,Kick-Ass 2,$28 million,2013,Series: Kick-Ass,60795985
PG,TriStar,28873374,Concert,One Direction: This is Us,$10 million,2013,No,68532898
PG-13,Warner Bros.,29807260,Sports Comedy,Grudge Match,$40 million,2013,No,44907260
PG-13,Buena Vista,30664106,Comedy,Delivery Man,$26 million,2013,No,49984696
PG-13,Sony / Screen Gems,31165421,Fantasy Drama,The Mortal Instruments: City of Bones,$60 million,2013,No,95396573
PG-13,Weinstein / Dimension,32015787,Comedy,Scary Movie 5,$20 million,2013,Series: Scary Movie,78378744
R,Open Road Films,32172757,Thriller,Side Effects (2013),N/A,2013,No,63372757
R,Lionsgate/Summit,32244051,Concert,Kevin Hart: Let Me Explain,N/A,2013,No,32318051
PG-13,Sony Classics,33405481,Comedy,Blue Jasmine,N/A,2013,No,97505481
PG-13,Universal,33618855,Action / Adventure,R.I.P.D.,$130 million,2013,No,78324220
R,Lionsgate,34341945,Horror,Texas Chainsaw 3D,N/A,2013,Series: Texas Chainsaw Massacre,47241945
R,Sony / Screen Gems,35266619,Horror,Carrie (2013),$30 million,2013,No,84790678
PG,Fox,36076121,Family Adventure,Walking with Dinosaurs,$80 million,2013,No,126546518
R,Relativity,36918811,Action Comedy,The Family (2013),$30 million,2013,No,78418811
PG-13,Weinstein Company,37709979,Drama,Philomena,$12 million,2013,No,100129872
R,Weinstein Company,37738810,Comedy / Drama,August: Osage County,N/A,2013,No,74188937
PG-13,Universal,38362475,Action Drama,47 Ronin,$175 million,2013,No,151783839
R,Open Road Films,40041683,Comedy,A Haunted House,$2.5 million,2013,Series: A Haunted House,60141683
R,Universal,42025135,Sci-Fi Fantasy,Riddick,$38 million,2013,Series: Riddick,98337295
PG-13,Lionsgate/Summit,42930462,Action,Snitch,N/A,2013,No,42930462
PG-13,Lionsgate,44467206,Foreign,Instructions Not Included,N/A,2013,No,99067206
PG-13,Fox,44672764,Comedy,The Internship,$58 million,2013,No,93492844
