domestic,name,production_budget,release_year,worldwide
"$1,134,358",In the Shadow of the Moon,"$2,000,000",2007,"$2,175,587"
"$977,772",Meek's Cutoff,"$2,000,000",2011,"$1,869,928"
"$950,792",The Babadook,"$2,000,000",2014,"$7,482,387"
"$691,880",Inside Deep Throat,"$2,000,000",2005,"$691,880"
"$100,492,203",Million Dollar Baby,"$30,000,000",2004,"$231,928,227"
"$100,125,643",Se7en,"$30,000,000",1995,"$328,125,643"
"$90,135,191",Mystic River,"$30,000,000",2003,"$156,822,020"
"$87,044,645",Sisters,"$30,000,000",2015,"$106,030,660"
"$85,744,662",Pokemon: The First Movie,"$30,000,000",1999,"$163,644,662"
$0,The Rise of the Krays,"$2,500,000",2016,$0
$0,Not Safe For Work,"$2,500,000",2014,$0
"$180,237",Go For It!,"$2,450,000",2011,"$182,358"
"$5,691,854",Get on the Bus,"$2,400,000",1996,"$5,691,854"
"$1,008,849",Thr3e,"$2,400,000",2007,"$1,420,418"
"$17,192,205",Fled,"$30,000,000",1996,"$19,892,205"
"$17,010,170",Splice,"$30,000,000",2010,"$28,542,494"
"$16,930,884",88 Minutes,"$30,000,000",2008,"$32,955,399"
"$16,323,969",The Whole Ten Yards,"$30,000,000",2004,"$26,323,969"
"$16,295,774",Howard the Duck,"$30,000,000",1986,"$16,295,774"
"$25,534,493",W.,"$25,100,000",2008,"$28,575,778"
"$370,782,930",The Passion of the Christ,"$25,000,000",2004,"$622,341,924"
"$219,195,051",Mrs. Doubtfire,"$25,000,000",1993,"$441,286,003"
"$172,825,435",Rain Man,"$25,000,000",1988,"$412,800,000"
"$169,705,587",The Help,"$25,000,000",2011,"$213,120,004"
"$12,638,526",Battle of the Sexes,"$25,000,000",2017,"$18,445,379"
"$12,512,862",Cirque du Soleil: Worlds Away,"$25,000,000",2012,"$28,012,862"
"$12,227,722",The 33,"$25,000,000",2015,"$28,400,715"
"$11,603,545",Lifeforce,"$25,000,000",1985,"$11,603,545"
"$11,538,204",The Conspirator,"$25,000,000",2011,"$15,907,411"
$0,Alatriste,"$28,000,000",2007,"$22,860,477"
"$148,761,765",Knocked Up,"$27,500,000",2007,"$219,265,952"
"$67,900,000",Octopussy,"$27,500,000",1983,"$187,500,000"
"$49,200,230",My Sister's Keeper,"$27,500,000",2009,"$96,673,002"
"$42,436,517",Welcome Home Roscoe Jenkins,"$27,500,000",2008,"$43,607,627"
"$19,762,690",Yu-Gi-Oh,"$20,000,000",2004,"$28,762,690"
"$302,204",Shooting Fish,"$4,000,000",1998,"$302,204"
